Id,Date,Nitrat level,Temperature,Humidity,Pressure,Wind_Speed,Precipitation,UV_Index,Oxygen_Level,Weather_Condition,Traffic_Condition,Road_Type,Time_of_Day,Nitrat level2
40,2023-06-27,56.45858698574739,21,94,923,19,13,1,10,Sunny,Heavy Traffic,Rural Road,Night,56.45858698574739
41,2023-06-27,31.89415731993864,29,55,1061,26,22,3,22,Rainy,Moderate Traffic,Rural Road,Evening,31.89415731993864
42,2023-06-27,33.53681054636864,7,4,1002,21,48,0,24,Sunny,Light Traffic,Rural Road,Afternoon,33.53681054636864
43,2023-06-27,38.83357670601877,24,58,968,6,42,1,16,Snowy,Moderate Traffic,Highway,Afternoon,38.83357670601877
44,2023-06-27,38.57137258964639,6,54,921,4,9,3,28,Cloudy,Heavy Traffic,Highway,Afternoon,38.57137258964639
45,2023-06-27,39.15067406506005,6,1,935,14,49,4,16,Cloudy,Heavy Traffic,Urban Road,Night,39.15067406506005
46,2023-06-27,57.63186575098187,28,37,1065,29,27,4,21,Snowy,Heavy Traffic,Rural Road,Morning,57.63186575098187
47,2023-06-27,63.72508344306256,6,81,929,2,25,4,16,Snowy,Light Traffic,Highway,Night,63.72508344306256
48,2023-06-27,31.514980843486327,26,74,948,10,8,0,21,Rainy,Moderate Traffic,Highway,Afternoon,31.514980843486327
49,2023-06-27,29.445918092385753,17,6,1047,3,9,9,27,Rainy,Moderate Traffic,Highway,Night,29.445918092385753
50,2023-06-27,27.498449198535567,12,60,1028,4,17,8,13,Cloudy,Moderate Traffic,Highway,Morning,27.498449198535567
51,2023-06-27,34.70457615440829,17,81,1016,20,34,5,13,Snowy,Light Traffic,Rural Road,Morning,34.70457615440829
52,2023-06-27,56.62929538536083,30,25,956,0,6,0,28,Snowy,Light Traffic,Highway,Afternoon,138.0
53,2023-06-27,45.97823112181929,19,79,1096,25,28,9,27,Rainy,Moderate Traffic,Rural Road,Afternoon,45.97823112181929
54,2023-06-27,33.05105089480915,15,99,921,22,48,8,21,Snowy,Light Traffic,Urban Road,Afternoon,33.05105089480915
55,2023-06-27,32.51140255236506,21,1,1081,19,20,10,20,Cloudy,Heavy Traffic,Urban Road,Evening,32.51140255236506
56,2023-06-27,42.261564096062074,27,88,1014,1,7,4,28,Rainy,Light Traffic,Highway,Afternoon,42.261564096062074
57,2023-06-27,37.78734792845955,26,73,906,21,47,5,22,Sunny,Moderate Traffic,Highway,Night,37.78734792845955
58,2023-06-27,32.748016125565755,12,94,1046,23,24,1,11,Cloudy,Heavy Traffic,Urban Road,Afternoon,32.748016125565755
59,2023-06-27,47.34169311966026,27,83,944,4,0,2,22,Rainy,Light Traffic,Highway,Night,47.34169311966026
60,2023-06-27,60.2741007018671,19,81,995,9,4,10,25,Cloudy,Moderate Traffic,Highway,Morning,60.2741007018671
61,2023-06-27,38.65470215541239,13,32,1019,11,46,1,23,Cloudy,Moderate Traffic,Urban Road,Night,38.65470215541239
62,2023-06-27,29.219965841183214,19,87,1061,16,39,1,27,Cloudy,Light Traffic,Urban Road,Morning,157.0
63,2023-06-27,51.9304850263628,7,100,950,14,20,3,27,Rainy,Moderate Traffic,Rural Road,Afternoon,51.9304850263628
64,2023-06-27,48.387648896896415,17,62,927,19,35,2,28,Rainy,Moderate Traffic,Rural Road,Afternoon,48.387648896896415
65,2023-06-27,67.5481555233909,26,60,1016,10,19,9,30,Rainy,Light Traffic,Urban Road,Night,67.5481555233909
66,2023-06-27,37.276728407318494,12,11,949,25,1,0,12,Partly Cloudy,Light Traffic,Rural Road,Afternoon,37.276728407318494
67,2023-06-27,30.624974701776285,10,19,1031,1,48,9,15,Rainy,Moderate Traffic,Highway,Morning,30.624974701776285
68,2023-06-27,23.255952124276938,19,68,1067,14,32,7,10,Partly Cloudy,Light Traffic,Highway,Morning,23.255952124276938
69,2023-06-27,51.43253904807052,27,27,1027,29,11,3,14,Rainy,Moderate Traffic,Rural Road,Afternoon,51.43253904807052
70,2023-06-27,48.15468919547942,29,99,955,27,14,5,27,Snowy,Heavy Traffic,Highway,Morning,48.15468919547942
71,2023-06-27,47.66342959399997,5,45,978,28,40,3,10,Snowy,Light Traffic,Rural Road,Night,47.66342959399997
72,2023-06-27,38.26571923480223,19,99,1086,14,16,1,14,Partly Cloudy,Light Traffic,Rural Road,Afternoon,38.26571923480223
73,2023-06-27,20.887235873010233,15,65,948,9,15,6,16,Partly Cloudy,Heavy Traffic,Rural Road,Afternoon,20.887235873010233
74,2023-06-27,35.70969780445741,9,31,994,20,21,0,10,Cloudy,Moderate Traffic,Rural Road,Evening,35.70969780445741
75,2023-06-27,38.92233073378568,7,78,1030,18,3,6,21,Snowy,Light Traffic,Urban Road,Afternoon,38.92233073378568
76,2023-06-27,28.78686563734039,13,61,949,9,40,10,26,Partly Cloudy,Light Traffic,Urban Road,Morning,28.78686563734039
77,2023-06-27,59.61040540979998,29,21,1092,25,39,1,29,Sunny,Moderate Traffic,Rural Road,Evening,59.61040540979998
78,2023-06-27,65.675707661812,24,65,970,1,30,9,22,Partly Cloudy,Light Traffic,Highway,Evening,65.675707661812
79,2023-06-27,55.61661309481761,27,0,1068,16,9,9,14,Partly Cloudy,Moderate Traffic,Highway,Morning,55.61661309481761
80,2023-06-27,22.92352161301246,22,0,919,16,5,10,28,Snowy,Moderate Traffic,Urban Road,Evening,22.92352161301246
81,2023-06-27,64.97755758012008,22,19,967,29,7,6,11,Partly Cloudy,Light Traffic,Highway,Night,64.97755758012008
82,2023-06-27,58.025668747827,9,60,1026,6,35,9,10,Rainy,Heavy Traffic,Highway,Afternoon,58.025668747827
83,2023-06-27,56.138551764265145,17,84,901,4,45,5,22,Snowy,Moderate Traffic,Rural Road,Morning,56.138551764265145
84,2023-06-27,37.67598808380931,17,31,1036,12,38,8,30,Rainy,Moderate Traffic,Highway,Evening,37.67598808380931
85,2023-06-27,48.21362629315557,22,18,989,6,43,5,14,Sunny,Light Traffic,Highway,Night,48.21362629315557
86,2023-06-27,36.87217414860615,27,71,988,22,28,0,19,Rainy,Light Traffic,Rural Road,Night,36.87217414860615
87,2023-06-27,37.12713590754306,6,82,1055,20,42,10,27,Snowy,Light Traffic,Rural Road,Evening,37.12713590754306
88,2023-06-27,69.84189085265749,27,9,1037,18,45,7,27,Snowy,Moderate Traffic,Rural Road,Evening,69.84189085265749
89,2023-06-27,52.53333660743744,5,90,1056,16,50,9,12,Cloudy,Light Traffic,Rural Road,Morning,52.53333660743744
90,2023-06-27,37.23384260155015,29,39,1040,11,13,10,11,Rainy,Heavy Traffic,Rural Road,Night,37.23384260155015
91,2023-06-27,28.121936093467728,25,77,1091,20,35,5,18,Rainy,Light Traffic,Highway,Afternoon,28.121936093467728
92,2023-06-27,31.76130168980753,23,28,939,21,34,9,26,Sunny,Moderate Traffic,Urban Road,Afternoon,31.76130168980753
93,2023-06-27,22.633538928230223,15,76,1028,17,24,1,11,Cloudy,Light Traffic,Highway,Evening,22.633538928230223
94,2023-06-27,57.8678112562209,10,62,1026,25,36,2,20,Sunny,Light Traffic,Highway,Afternoon,57.8678112562209
95,2023-06-27,57.81562643177439,17,74,980,8,40,9,14,Sunny,Heavy Traffic,Rural Road,Evening,57.81562643177439
96,2023-06-27,35.65396783642573,12,1,914,21,37,9,15,Snowy,Light Traffic,Highway,Morning,35.65396783642573
97,2023-06-27,72.5455823780634,26,13,967,24,42,8,20,Cloudy,Light Traffic,Highway,Night,72.5455823780634
98,2023-06-27,32.12740955577201,15,16,1027,12,35,3,27,Cloudy,Heavy Traffic,Rural Road,Evening,32.12740955577201
10,2023-06-28,36.15712972830586,28,20,1076,27,47,10,12,Cloudy,Moderate Traffic,Highway,Night,36.15712972830586
11,2023-06-28,32.6628611036336,24,21,1016,28,24,8,21,Cloudy,Moderate Traffic,Urban Road,Afternoon,32.6628611036336
12,2023-06-28,53.688964416865645,16,51,1045,27,28,6,21,Cloudy,Light Traffic,Urban Road,Evening,53.688964416865645
13,2023-06-28,66.10609409114063,16,48,926,13,6,1,17,Snowy,Light Traffic,Highway,Evening,66.10609409114063
14,2023-06-28,32.625825150848364,23,70,925,6,48,0,13,Rainy,Moderate Traffic,Rural Road,Evening,32.625825150848364
15,2023-06-28,26.571647398085346,24,48,957,20,45,0,30,Snowy,Light Traffic,Urban Road,Afternoon,26.571647398085346
16,2023-06-28,40.172646269383165,11,44,1091,23,0,5,30,Partly Cloudy,Light Traffic,Rural Road,Afternoon,40.172646269383165
17,2023-06-28,50.57999454668191,11,81,1069,26,36,5,13,Sunny,Light Traffic,Rural Road,Evening,50.57999454668191
18,2023-06-28,57.00833244837722,9,17,918,11,9,4,17,Rainy,Light Traffic,Highway,Afternoon,57.00833244837722
19,2023-06-28,31.65683497332138,17,57,1085,12,22,7,29,Rainy,Moderate Traffic,Highway,Morning,31.65683497332138
20,2023-06-28,65.60217321647825,6,26,1062,5,34,8,24,Cloudy,Moderate Traffic,Highway,Afternoon,65.60217321647825
21,2023-06-28,42.75272480132416,29,51,957,18,23,7,18,Rainy,Moderate Traffic,Urban Road,Morning,42.75272480132416
22,2023-06-28,41.6622435432242,27,8,1052,4,13,1,30,Rainy,Light Traffic,Highway,Evening,41.6622435432242
23,2023-06-28,33.701269920561074,22,40,927,5,36,4,30,Snowy,Moderate Traffic,Urban Road,Afternoon,33.701269920561074
24,2023-06-28,28.68432633441649,29,54,956,9,9,10,16,Cloudy,Light Traffic,Rural Road,Afternoon,28.68432633441649
25,2023-06-28,46.26646427209461,20,92,989,25,30,2,10,Rainy,Heavy Traffic,Rural Road,Evening,46.26646427209461
26,2023-06-28,35.9592511246581,9,67,1056,20,15,4,26,Snowy,Light Traffic,Urban Road,Morning,35.9592511246581
27,2023-06-28,35.1622758355235,11,17,1090,24,38,6,22,Rainy,Light Traffic,Rural Road,Evening,35.1622758355235
28,2023-06-28,56.17361099969922,15,0,905,1,40,5,12,Partly Cloudy,Moderate Traffic,Rural Road,Evening,56.17361099969922
29,2023-06-28,32.769924811295,30,53,949,29,9,8,18,Snowy,Heavy Traffic,Urban Road,Evening,32.769924811295
30,2023-06-28,38.70823021412366,6,51,1001,15,21,3,20,Partly Cloudy,Moderate Traffic,Urban Road,Evening,38.70823021412366
31,2023-06-28,42.770143518425556,26,16,906,11,9,9,29,Snowy,Light Traffic,Rural Road,Evening,42.770143518425556
32,2023-06-28,38.08854771169334,12,45,1005,14,15,6,18,Rainy,Moderate Traffic,Urban Road,Night,38.08854771169334
33,2023-06-28,50.71312028125433,25,58,1055,28,15,3,30,Cloudy,Light Traffic,Highway,Evening,50.71312028125433
34,2023-06-28,55.54163778241987,28,52,1002,15,39,5,17,Sunny,Light Traffic,Highway,Afternoon,55.54163778241987
35,2023-06-28,27.494738391758204,8,82,969,20,0,3,14,Cloudy,Light Traffic,Urban Road,Night,27.494738391758204
36,2023-06-28,67.48526325359347,19,76,1031,17,32,2,24,Rainy,Light Traffic,Highway,Evening,67.48526325359347
37,2023-06-28,37.33339235015505,18,100,1085,21,10,8,19,Rainy,Light Traffic,Rural Road,Morning,37.33339235015505
38,2023-06-28,39.67499724725662,29,51,1096,1,20,9,19,Partly Cloudy,Moderate Traffic,Urban Road,Evening,39.67499724725662
39,2023-06-28,35.489198714934666,21,84,994,28,24,8,13,Sunny,Moderate Traffic,Rural Road,Evening,35.489198714934666
40,2023-06-28,49.848578967010184,23,68,979,24,33,6,10,Snowy,Moderate Traffic,Highway,Morning,49.848578967010184
41,2023-06-28,32.48665795561699,23,76,970,4,50,1,10,Partly Cloudy,Moderate Traffic,Rural Road,Night,97.0
42,2023-06-28,44.624637951524086,25,70,1067,18,37,8,28,Partly Cloudy,Light Traffic,Urban Road,Night,44.624637951524086
43,2023-06-28,50.35335078571416,12,60,941,13,34,7,27,Partly Cloudy,Moderate Traffic,Rural Road,Morning,50.35335078571416
44,2023-06-28,43.97139058565531,16,80,986,2,41,8,30,Cloudy,Moderate Traffic,Highway,Evening,43.97139058565531
45,2023-06-28,39.21025867114636,27,90,1081,28,34,7,27,Cloudy,Heavy Traffic,Urban Road,Morning,39.21025867114636
46,2023-06-28,45.77253266127485,11,25,900,13,18,7,30,Snowy,Heavy Traffic,Highway,Morning,45.77253266127485
47,2023-06-28,67.40508335907816,20,81,938,14,19,4,25,Sunny,Moderate Traffic,Rural Road,Evening,67.40508335907816
48,2023-06-28,31.05984534635805,26,24,1042,1,45,1,15,Rainy,Light Traffic,Rural Road,Morning,31.05984534635805
49,2023-06-28,31.1351973604056,21,50,1064,16,7,7,15,Partly Cloudy,Moderate Traffic,Urban Road,Morning,31.1351973604056
50,2023-06-28,46.77308124085217,18,9,1064,12,14,8,16,Cloudy,Heavy Traffic,Urban Road,Night,46.77308124085217
51,2023-06-28,72.96991744693351,14,42,957,8,17,3,16,Snowy,Heavy Traffic,Rural Road,Morning,72.96991744693351
52,2023-06-28,68.72945625087618,22,0,1013,13,41,10,26,Partly Cloudy,Moderate Traffic,Highway,Morning,68.72945625087618
53,2023-06-28,37.72401175321617,5,56,913,10,12,0,15,Snowy,Light Traffic,Rural Road,Afternoon,37.72401175321617
54,2023-06-28,44.248210510663235,8,31,925,25,37,8,22,Sunny,Heavy Traffic,Urban Road,Afternoon,44.248210510663235
55,2023-06-28,28.94966624450696,30,29,1008,17,8,8,11,Snowy,Moderate Traffic,Rural Road,Night,28.94966624450696
56,2023-06-28,34.674443493545986,18,30,1088,30,4,7,17,Partly Cloudy,Heavy Traffic,Urban Road,Evening,34.674443493545986
57,2023-06-28,42.96171692063394,13,64,990,13,49,7,12,Snowy,Moderate Traffic,Rural Road,Night,42.96171692063394
58,2023-06-28,41.83091369653556,13,54,946,9,9,3,23,Partly Cloudy,Moderate Traffic,Urban Road,Morning,41.83091369653556
59,2023-06-28,36.23070071122493,25,85,932,8,35,5,16,Cloudy,Moderate Traffic,Rural Road,Evening,161.0
60,2023-06-28,34.0702312821174,24,26,1092,10,9,3,13,Cloudy,Light Traffic,Highway,Afternoon,34.0702312821174
61,2023-06-28,72.37723927199997,14,52,1072,22,33,0,15,Snowy,Heavy Traffic,Urban Road,Afternoon,72.37723927199997
62,2023-06-28,21.562837981478992,25,26,1011,4,46,8,17,Sunny,Heavy Traffic,Highway,Evening,21.562837981478992
63,2023-06-28,62.69948964950985,20,93,1069,18,5,6,10,Partly Cloudy,Moderate Traffic,Urban Road,Morning,62.69948964950985
64,2023-06-28,35.25651121309478,30,89,974,17,9,2,25,Sunny,Light Traffic,Rural Road,Evening,35.25651121309478
65,2023-06-28,37.40065084043203,23,31,948,21,0,9,10,Partly Cloudy,Light Traffic,Highway,Evening,37.40065084043203
66,2023-06-28,41.44018373697878,7,34,958,4,26,6,13,Cloudy,Light Traffic,Urban Road,Evening,41.44018373697878
67,2023-06-28,55.61282567751752,9,44,923,15,1,2,15,Cloudy,Light Traffic,Urban Road,Evening,55.61282567751752
68,2023-06-28,39.32187894260338,27,19,1057,10,0,0,20,Snowy,Heavy Traffic,Rural Road,Evening,39.32187894260338
69,2023-06-28,52.372260868408496,26,90,1091,2,35,7,24,Snowy,Heavy Traffic,Highway,Morning,52.372260868408496
70,2023-06-28,39.40275694677682,15,78,906,17,13,8,30,Sunny,Heavy Traffic,Rural Road,Evening,39.40275694677682
71,2023-06-28,60.36682680836367,7,54,984,22,38,6,21,Sunny,Light Traffic,Highway,Evening,60.36682680836367
72,2023-06-28,41.3432604965937,12,27,924,10,23,9,27,Snowy,Moderate Traffic,Urban Road,Afternoon,41.3432604965937
73,2023-06-28,49.741651323444415,21,18,1089,19,35,7,28,Sunny,Moderate Traffic,Urban Road,Evening,49.741651323444415
74,2023-06-28,68.22163592433579,13,92,1077,14,16,3,21,Partly Cloudy,Light Traffic,Rural Road,Night,68.22163592433579
75,2023-06-28,52.993216149189955,29,44,954,10,32,6,18,Partly Cloudy,Heavy Traffic,Rural Road,Afternoon,52.993216149189955
76,2023-06-28,31.343830287015603,16,87,1058,16,38,10,25,Sunny,Moderate Traffic,Rural Road,Morning,31.343830287015603
77,2023-06-28,25.217845679025015,26,38,1098,15,4,5,27,Snowy,Heavy Traffic,Urban Road,Afternoon,96.0
78,2023-06-28,69.08522058838555,26,10,1047,3,9,4,28,Cloudy,Moderate Traffic,Urban Road,Night,69.08522058838555
79,2023-06-28,51.914992776838375,22,19,1028,1,21,3,17,Rainy,Heavy Traffic,Urban Road,Afternoon,51.914992776838375
80,2023-06-28,44.13512717121402,19,96,1026,7,33,7,27,Partly Cloudy,Light Traffic,Rural Road,Afternoon,176.0
81,2023-06-28,53.11377644643237,25,60,928,0,26,1,23,Sunny,Heavy Traffic,Urban Road,Morning,53.11377644643237
82,2023-06-28,42.732751570984426,6,45,1024,11,22,8,25,Cloudy,Heavy Traffic,Rural Road,Night,42.732751570984426
83,2023-06-28,22.553024012046592,30,2,978,24,35,0,30,Snowy,Heavy Traffic,Rural Road,Night,22.553024012046592
84,2023-06-28,68.37128517579038,12,39,949,29,18,1,11,Cloudy,Moderate Traffic,Rural Road,Morning,68.37128517579038
85,2023-06-28,47.8984740129554,7,2,1005,1,35,6,28,Sunny,Moderate Traffic,Highway,Afternoon,47.8984740129554
86,2023-06-28,31.290863702581813,18,74,1082,17,14,10,24,Cloudy,Moderate Traffic,Urban Road,Evening,31.290863702581813
87,2023-06-28,27.046475293622056,25,31,932,5,5,3,11,Partly Cloudy,Heavy Traffic,Urban Road,Night,27.046475293622056
88,2023-06-28,33.83221065145462,19,27,996,22,11,9,18,Snowy,Light Traffic,Rural Road,Afternoon,33.83221065145462
89,2023-06-28,35.58302019945785,19,0,954,0,26,3,27,Partly Cloudy,Moderate Traffic,Rural Road,Afternoon,35.58302019945785
90,2023-06-28,24.415045786772023,29,24,1073,0,46,1,10,Partly Cloudy,Heavy Traffic,Rural Road,Night,24.415045786772023
91,2023-06-28,38.95135950164096,5,28,984,22,2,1,24,Sunny,Heavy Traffic,Highway,Morning,38.95135950164096
92,2023-06-28,69.2174707131358,13,71,1005,20,26,0,16,Sunny,Heavy Traffic,Urban Road,Evening,69.2174707131358
93,2023-06-28,27.364550363406074,24,27,935,19,49,7,29,Snowy,Heavy Traffic,Rural Road,Evening,27.364550363406074
94,2023-06-28,61.74237551663137,15,90,1053,1,26,8,19,Cloudy,Moderate Traffic,Rural Road,Evening,61.74237551663137
95,2023-06-28,31.291937867157376,30,96,965,1,26,10,13,Snowy,Heavy Traffic,Rural Road,Afternoon,31.291937867157376
96,2023-06-28,41.000316219333726,20,85,1051,11,22,3,17,Rainy,Heavy Traffic,Highway,Morning,41.000316219333726
97,2023-06-28,43.286987963210485,25,73,1024,21,45,0,23,Rainy,Heavy Traffic,Highway,Morning,43.286987963210485
98,2023-06-28,47.61414278011906,10,84,1037,29,15,9,25,Sunny,Light Traffic,Rural Road,Evening,47.61414278011906
10,2023-06-29,59.18424740236983,21,46,1063,16,38,0,21,Partly Cloudy,Heavy Traffic,Highway,Night,59.18424740236983
11,2023-06-29,43.73576628315497,7,1,939,9,37,5,28,Cloudy,Light Traffic,Urban Road,Night,43.73576628315497
12,2023-06-29,44.534237593049156,22,78,1051,2,18,10,16,Sunny,Light Traffic,Highway,Morning,44.534237593049156
13,2023-06-29,32.54761898501473,6,48,1078,8,46,1,21,Partly Cloudy,Light Traffic,Rural Road,Night,32.54761898501473
14,2023-06-29,68.01435131089401,7,98,1095,29,11,8,29,Snowy,Moderate Traffic,Rural Road,Afternoon,68.01435131089401
15,2023-06-29,45.93260532748497,24,35,920,7,26,3,30,Partly Cloudy,Moderate Traffic,Rural Road,Afternoon,45.93260532748497
16,2023-06-29,52.956468220586245,21,37,1090,22,33,1,11,Partly Cloudy,Heavy Traffic,Highway,Afternoon,52.956468220586245
17,2023-06-29,24.639346930274307,21,5,1019,6,19,0,13,Partly Cloudy,Heavy Traffic,Urban Road,Morning,24.639346930274307
18,2023-06-29,46.81454829660214,10,76,1034,10,7,4,19,Cloudy,Moderate Traffic,Highway,Morning,46.81454829660214
19,2023-06-29,33.07633841740324,21,24,955,24,39,4,26,Snowy,Heavy Traffic,Urban Road,Afternoon,33.07633841740324
20,2023-06-29,35.03033607932047,11,60,918,14,22,7,15,Partly Cloudy,Moderate Traffic,Urban Road,Evening,35.03033607932047
21,2023-06-29,28.089203687635322,19,2,913,22,35,6,21,Rainy,Moderate Traffic,Rural Road,Morning,28.089203687635322
22,2023-06-29,31.606918983117513,29,66,925,24,4,7,23,Snowy,Light Traffic,Urban Road,Morning,31.606918983117513
23,2023-06-29,57.92771884344087,23,83,1010,20,37,9,13,Rainy,Heavy Traffic,Rural Road,Morning,57.92771884344087
24,2023-06-29,24.94726609368696,20,83,921,6,32,9,23,Rainy,Light Traffic,Highway,Evening,24.94726609368696
25,2023-06-29,51.36156535200333,15,48,912,30,27,7,27,Rainy,Heavy Traffic,Rural Road,Afternoon,51.36156535200333
26,2023-06-29,26.71840577033543,22,85,1089,28,3,0,29,Cloudy,Moderate Traffic,Rural Road,Afternoon,26.71840577033543
27,2023-06-29,34.91139371860441,12,76,923,28,34,4,15,Snowy,Heavy Traffic,Urban Road,Afternoon,34.91139371860441
28,2023-06-29,37.055020860307046,23,16,1098,21,28,2,25,Partly Cloudy,Moderate Traffic,Highway,Afternoon,37.055020860307046
29,2023-06-29,43.55245305018376,13,37,1069,5,27,10,16,Rainy,Moderate Traffic,Urban Road,Night,43.55245305018376
30,2023-06-29,17.814914505026678,15,87,927,0,19,3,22,Cloudy,Heavy Traffic,Rural Road,Night,17.814914505026678
31,2023-06-29,24.74481407651759,21,10,956,9,32,7,12,Sunny,Heavy Traffic,Highway,Afternoon,24.74481407651759
32,2023-06-29,28.246816851776103,28,37,1079,16,20,10,30,Cloudy,Light Traffic,Urban Road,Evening,28.246816851776103
33,2023-06-29,56.21517921147371,12,37,1017,2,34,10,21,Rainy,Heavy Traffic,Urban Road,Night,56.21517921147371
34,2023-06-29,41.23687490762374,28,41,1027,3,19,8,18,Cloudy,Moderate Traffic,Urban Road,Morning,41.23687490762374
35,2023-06-29,41.77506171027438,9,30,902,14,31,1,11,Cloudy,Moderate Traffic,Highway,Evening,41.77506171027438
36,2023-06-29,30.21567507410083,14,27,1069,27,38,10,30,Snowy,Light Traffic,Rural Road,Night,30.21567507410083
37,2023-06-29,53.96436718855213,25,66,1032,8,27,8,29,Snowy,Moderate Traffic,Rural Road,Afternoon,53.96436718855213
38,2023-06-29,43.525375345711176,20,76,1074,4,48,9,17,Snowy,Heavy Traffic,Urban Road,Afternoon,43.525375345711176
39,2023-06-29,53.63466426162033,24,3,1011,2,43,8,22,Cloudy,Moderate Traffic,Highway,Afternoon,53.63466426162033
40,2023-06-29,37.02653186155402,18,19,1030,11,26,3,18,Sunny,Light Traffic,Urban Road,Night,37.02653186155402
41,2023-06-29,38.98760950655949,13,60,969,21,47,5,15,Cloudy,Light Traffic,Highway,Morning,38.98760950655949
42,2023-06-29,22.423496743778784,26,58,1071,19,18,0,11,Sunny,Heavy Traffic,Highway,Morning,22.423496743778784
43,2023-06-29,48.21031035070859,12,94,992,17,38,10,21,Cloudy,Moderate Traffic,Urban Road,Morning,48.21031035070859
44,2023-06-29,50.87479909896544,15,28,988,20,28,4,19,Snowy,Heavy Traffic,Rural Road,Morning,50.87479909896544
45,2023-06-29,52.907062638048245,27,87,1065,1,42,9,13,Snowy,Light Traffic,Rural Road,Evening,52.907062638048245
46,2023-06-29,54.709168112426504,10,23,1095,26,19,3,16,Sunny,Moderate Traffic,Highway,Night,54.709168112426504
47,2023-06-29,60.49441983107893,11,50,1055,28,11,0,23,Rainy,Heavy Traffic,Rural Road,Afternoon,60.49441983107893
48,2023-06-29,24.686531365010683,5,57,903,22,42,4,28,Rainy,Heavy Traffic,Urban Road,Afternoon,24.686531365010683
49,2023-06-29,32.81520721121978,19,31,954,28,44,1,14,Cloudy,Moderate Traffic,Urban Road,Morning,32.81520721121978
