Date,Name,Nitrat level,Total Revenue,Environmental Certifications,Complaints or Violations,Environmental Expenditures,Research and Development,Government Subsidies/Incentives,Number of Employees,Temp. higher than average,Product Line,Community Engagement Level,Supplier Diversity,Nitrat level2
2023-06-27,"Byrd, Cannon and Estrada",126.24579109997279,480920187.61,Green Business,3,534255.61,69218.72,53294.03,8165,Yes,Pharmaceuticals,High,Not Diverse,126.24579109997279
2023-06-27,Myers-Brown,251.36628164175897,396749186.45,ISO 14001,5,211028.73,26967.0,713037.33,5155,Yes,Aerospace,Low,Diverse,251.36628164175897
2023-06-27,Sherman Inc,225.3793512037706,379565840.34,ISO 14001,7,320753.05,94704.0,233812.47,3671,Yes,Consumer Goods,High,Not Diverse,225.3793512037706
2023-06-27,Dean-Dixon,91.39505081476764,288187270.86,ISO 14001,9,16624.15,30524.4,408470.24,7262,No,Consumer Goods,Medium,Not Diverse,91.39505081476764
2023-06-27,"Harris, Smith and Walter",136.2045279327971,693820457.84,ISO 14001,7,792728.71,82613.45,884270.82,5456,Yes,Automotive,High,Diverse,136.2045279327971
2023-06-27,Wilson-King,223.9743596901077,125715426.68,LEED,7,300355.99,82764.08,557398.06,2610,Yes,Aerospace,High,Not Diverse,223.9743596901077
2023-06-27,"Gay, Bullock and Watson",176.5002354591004,220264563.08,LEED,5,432768.31,15478.76,316204.25,1141,Yes,Consumer Goods,Low,Diverse,176.5002354591004
2023-06-27,Sweeney Group,238.611785195451,615132250.47,Green Business,10,244483.6,92391.2,689450.13,1343,No,Automotive,Medium,Not Diverse,238.611785195451
2023-06-27,English-Cordova,228.76338101104142,935968885.92,Green Business,5,664859.09,8724.63,773737.76,2222,Yes,Electronics,Medium,Not Diverse,228.76338101104142
2023-06-27,Thomas Ltd,290.3335626779041,668377326.25,Green Business,2,502194.99,38488.21,12925.9,306,No,Electronics,High,Diverse,290.3335626779041
2023-06-27,"Small, Thompson and Lawson",272.5936773936815,385945579.33,LEED,10,251457.41,98462.99,743558.61,4575,Yes,Consumer Goods,Medium,Diverse,272.5936773936815
2023-06-27,"Lynch, Weber and Powers",318.8989745224877,607412150.98,ISO 14001,7,404688.98,63929.68,589680.94,533,Yes,Aerospace,High,Not Diverse,318.8989745224877
2023-06-27,Cummings-Morales,334.2110872558831,580090779.09,LEED,7,150952.22,77052.56,511026.19,1742,Yes,Automotive,High,Diverse,334.2110872558831
2023-06-27,Weaver PLC,380.0455856516367,315710957.61,Green Business,6,847885.68,8851.07,965438.16,5867,Yes,Automotive,High,Diverse,380.0455856516367
2023-06-27,Hess and Sons,152.2544600346795,584085908.18,LEED,5,111855.93,4906.63,850219.85,2178,Yes,Electronics,Medium,Diverse,152.2544600346795
2023-06-27,Rogers Ltd,215.39929363835972,305810894.77,LEED,6,736467.15,44279.17,795554.77,7435,Yes,Consumer Goods,High,Diverse,215.39929363835972
2023-06-27,"Martinez, Torres and Stafford",276.9199326774768,231634604.54,LEED,1,859488.57,94573.55,872315.63,6266,Yes,Consumer Goods,High,Not Diverse,276.9199326774768
2023-06-27,"Perez, Kelly and Ross",265.17889738270486,291946548.76,ISO 14001,6,761309.59,97383.25,949989.62,2739,Yes,Electronics,High,Diverse,265.17889738270486
2023-06-27,Mcguire and Sons,275.5044471455995,881546847.85,LEED,5,764222.12,12816.23,746316.94,1614,No,Aerospace,High,Not Diverse,275.5044471455995
2023-06-27,Cole-Smith,321.5497107721749,438244787.25,Green Business,9,158247.1,17653.78,100913.19,5912,Yes,Aerospace,High,Not Diverse,321.5497107721749
2023-06-27,"Wright, Gill and Harris",167.2820269182706,110152475.54,ISO 14001,8,202184.91,10940.59,221433.57,7230,No,Consumer Goods,Medium,Diverse,167.2820269182706
2023-06-27,Moss PLC,93.51188586993231,547302850.14,LEED,1,524747.82,15429.79,567054.96,3143,Yes,Pharmaceuticals,Low,Not Diverse,93.51188586993231
2023-06-27,Thomas and Sons,296.3961205446543,769003169.39,Green Business,4,219455.49,59994.34,233541.85,1796,Yes,Consumer Goods,Low,Diverse,296.3961205446543
2023-06-27,"Holmes, Hall and Holland",148.70635703607232,607760172.82,Green Business,9,118416.02,74119.66,438823.01,4919,No,Automotive,Medium,Not Diverse,148.70635703607232
2023-06-27,Kelley Group,85.97061901186271,859360821.59,ISO 14001,1,919133.42,6177.45,527052.51,1521,No,Pharmaceuticals,Medium,Diverse,85.97061901186271
2023-06-27,"Goodwin, Smith and Sims",292.4020090488639,324303473.48,LEED,7,635260.58,22511.54,505317.93,2333,Yes,Electronics,High,Diverse,292.4020090488639
2023-06-27,Graham-Garcia,166.21963750207078,285846577.24,ISO 14001,3,419578.79,83203.58,742805.15,2970,Yes,Consumer Goods,High,Diverse,166.21963750207078
2023-06-27,"Summers, Hayes and Schultz",128.90600700445037,180117073.46,LEED,6,77924.42,7131.24,281225.89,8771,No,Automotive,High,Diverse,128.90600700445037
2023-06-27,Harrell Ltd,262.08002284595415,669012706.32,Green Business,1,759687.85,55162.49,228299.73,9149,Yes,Pharmaceuticals,Medium,Diverse,262.08002284595415
2023-06-27,Campbell-Durham,286.9741663430088,476587677.17,ISO 14001,2,974220.59,26464.3,399681.37,9174,Yes,Automotive,Medium,Not Diverse,286.9741663430088
2023-06-27,Pennington-Garcia,226.8378701403557,887172852.93,LEED,10,72609.22,66274.65,971772.36,4146,Yes,Pharmaceuticals,High,Not Diverse,226.8378701403557
2023-06-27,Solis LLC,88.58958279313865,815229175.87,Green Business,8,208548.66,77659.1,116791.29,231,No,Consumer Goods,Medium,Not Diverse,88.58958279313865
2023-06-27,Flores-Weber,155.13171201166057,354306469.57,LEED,10,453060.04,67359.74,369017.24,910,No,Aerospace,Low,Diverse,155.13171201166057
2023-06-27,Haynes Group,165.44612726294088,796417382.17,Green Business,3,755473.09,70268.67,61106.46,6035,No,Consumer Goods,High,Not Diverse,165.44612726294088
2023-06-27,"Gonzalez, Perry and Diaz",225.05329713033245,616881764.76,ISO 14001,1,682952.58,93805.99,884056.99,7717,Yes,Consumer Goods,Medium,Diverse,225.05329713033245
2023-06-27,"Miller, Matthews and Williams",193.95707905434483,322203701.54,Green Business,9,46664.63,33889.8,183130.49,2806,Yes,Pharmaceuticals,Low,Diverse,193.95707905434483
2023-06-27,Black-Decker,248.94493613429606,69797936.09,ISO 14001,4,177548.02,70460.76,356482.69,74,Yes,Automotive,Medium,Not Diverse,248.94493613429606
2023-06-27,"Maynard, Miller and Hansen",288.49834159824223,457637117.26,Green Business,0,693975.0,19360.89,22060.71,6620,No,Electronics,Low,Not Diverse,288.49834159824223
2023-06-27,"Porter, Bennett and Kidd",90.03978395614817,317323513.46,LEED,6,255671.52,89964.11,405845.26,6181,Yes,Aerospace,Low,Diverse,90.03978395614817
2023-06-27,"Oliver, Aguilar and Santiago",181.4324777773223,136283575.02,Green Business,3,869647.57,16834.5,954431.35,6918,No,Automotive,High,Diverse,181.4324777773223
2023-06-27,Hess and Sons,193.6403708060159,508501358.23,LEED,3,268914.42,58942.25,896122.26,8159,No,Consumer Goods,High,Diverse,193.6403708060159
2023-06-27,Stanley and Sons,87.56935690356762,873090036.23,Green Business,2,784097.64,90582.01,248186.78,7727,No,Automotive,Medium,Diverse,87.56935690356762
2023-06-27,"Chen, Hart and Jones",205.60491848655676,558997638.53,LEED,9,927010.34,33116.47,595232.75,4678,No,Electronics,Medium,Diverse,205.60491848655676
2023-06-27,"Fleming, Hebert and Miller",204.10088927075398,769994263.24,Green Business,6,22914.17,9534.02,361353.2,6242,Yes,Aerospace,High,Not Diverse,353.0
2023-06-27,Moore-White,137.77425954720042,35540444.53,Green Business,4,886509.99,93367.38,529569.93,9556,Yes,Automotive,High,Not Diverse,137.77425954720042
2023-06-27,"Miller, Lowe and Smith",92.34897505556444,216180301.91,ISO 14001,1,884058.26,86654.55,844389.51,3884,Yes,Consumer Goods,Low,Diverse,92.34897505556444
2023-06-27,"Whitaker, Castillo and Ortiz",226.8610614289693,172771403.42,ISO 14001,5,883351.56,91012.47,202800.2,3334,No,Automotive,High,Diverse,226.8610614289693
2023-06-27,Schmitt-Obrien,151.78016071026573,87373493.18,ISO 14001,10,474759.07,83806.29,91059.09,345,No,Electronics,Medium,Diverse,151.78016071026573
2023-06-27,Hensley PLC,88.41299050404074,465559201.48,Green Business,8,971162.38,30493.28,634195.54,1454,No,Electronics,Medium,Diverse,88.41299050404074
2023-06-27,Mahoney-Young,88.14884323578053,319614653.48,ISO 14001,0,596888.24,73613.44,275315.14,8170,No,Pharmaceuticals,Medium,Diverse,200.0
2023-06-27,Howard and Sons,202.63534996175554,308749392.07,Green Business,3,561084.78,79370.33,759770.13,8334,Yes,Pharmaceuticals,Medium,Not Diverse,202.63534996175554
2023-06-27,"Cox, Hudson and Garcia",214.07230270224278,329531502.31,LEED,10,614640.95,98102.29,768490.75,1904,No,Consumer Goods,High,Not Diverse,214.07230270224278
2023-06-27,Fox-Tyler,90.0828020530976,256811290.22,ISO 14001,5,487232.44,54186.82,284533.04,4852,Yes,Automotive,High,Not Diverse,90.0828020530976
2023-06-27,Wood-Cole,275.7905236806938,63580794.86,ISO 14001,9,267063.45,31859.31,510630.09,9241,Yes,Consumer Goods,Medium,Diverse,275.7905236806938
2023-06-27,Long PLC,144.7245646542837,522127231.1,ISO 14001,0,164807.05,59808.91,938251.76,1711,Yes,Aerospace,Low,Not Diverse,144.7245646542837
2023-06-27,"Miranda, Pennington and Compton",93.73823405128462,510288291.59,Green Business,4,409507.04,43376.23,685961.09,1795,Yes,Pharmaceuticals,Medium,Diverse,93.73823405128462
2023-06-27,Frye-Gutierrez,140.03385856774602,105750159.03,LEED,10,440963.41,62507.22,907852.57,3886,Yes,Automotive,Low,Diverse,140.03385856774602
2023-06-27,Pruitt-Carter,197.00409661198543,801324110.8,LEED,6,976308.95,58624.64,334449.89,70,Yes,Electronics,Medium,Diverse,197.00409661198543
2023-06-27,"Clay, King and Peterson",277.4822190800943,513597734.88,Green Business,6,322804.45,99932.54,875916.34,1767,No,Consumer Goods,Medium,Not Diverse,277.4822190800943
2023-06-27,Gray-Gonzalez,225.5653338463549,205540042.23,Green Business,2,793770.09,33018.69,595783.79,2591,Yes,Pharmaceuticals,High,Not Diverse,225.5653338463549
2023-06-27,Thomas-Wheeler,290.2628227064622,885653662.2,Green Business,0,742876.96,97445.75,749460.76,7175,No,Automotive,Medium,Not Diverse,290.2628227064622
2023-06-27,Newton LLC,269.77740139517175,825405649.24,LEED,10,260758.88,75270.62,604645.14,4579,No,Pharmaceuticals,High,Not Diverse,269.77740139517175
2023-06-27,"Mcdaniel, Brown and Cantu",222.4308866712156,141939823.12,Green Business,9,932849.79,97971.86,953573.27,2635,No,Electronics,Medium,Diverse,222.4308866712156
2023-06-27,Hunter Group,89.29826727616471,38166295.0,LEED,1,286768.27,78410.32,268668.32,2011,No,Consumer Goods,High,Diverse,89.29826727616471
2023-06-27,Gonzalez-Schultz,232.69684770257163,164354473.28,LEED,6,44407.61,81922.72,509357.15,8544,Yes,Aerospace,High,Diverse,232.69684770257163
2023-06-27,Hawkins LLC,259.8148313436641,135998093.38,Green Business,4,716745.53,30199.27,655850.59,4268,No,Automotive,Medium,Not Diverse,259.8148313436641
2023-06-27,Proctor Group,153.9222195198082,642005536.99,ISO 14001,3,493823.6,99304.71,698795.65,9248,No,Automotive,Medium,Not Diverse,153.9222195198082
2023-06-27,Daniels-Bell,95.68413810742155,110452428.04,Green Business,2,550581.22,98794.92,258529.96,8145,No,Consumer Goods,Medium,Not Diverse,95.68413810742155
2023-06-27,Harmon-Vance,87.80336235505406,257917981.13,Green Business,7,439728.8,47314.52,249815.58,7688,No,Aerospace,Medium,Diverse,87.80336235505406
2023-06-27,Thompson-Rollins,332.4230066983372,944057256.13,LEED,0,765717.46,99758.63,892339.3,6354,No,Automotive,Medium,Diverse,
2023-06-27,Simon-Wallace,346.22025277488854,276401820.84,ISO 14001,4,224266.48,89645.89,666958.34,6517,Yes,Pharmaceuticals,Medium,Diverse,346.22025277488854
2023-06-27,"Davis, Williams and Robinson",251.17641507810606,126210238.78,LEED,8,105005.45,46619.06,505676.83,5732,No,Aerospace,Medium,Not Diverse,251.17641507810606
2023-06-27,Mills-Roy,171.3095977454526,898567658.19,ISO 14001,2,913857.06,85914.24,167399.91,8647,No,Automotive,Low,Diverse,171.3095977454526
2023-06-27,"Shaw, Cortez and Patel",271.0022112948302,338303104.73,LEED,1,325638.62,5009.23,895886.2,2978,No,Aerospace,Low,Diverse,271.0022112948302
2023-06-27,Carr PLC,234.93867698912504,207592380.48,LEED,0,619120.83,59895.51,613687.41,5347,Yes,Aerospace,Low,Not Diverse,234.93867698912504
2023-06-27,"Herrera, Hughes and Duncan",87.65399004891238,721508058.15,ISO 14001,6,351132.52,6097.42,158070.91,5757,Yes,Pharmaceuticals,Low,Not Diverse,87.65399004891238
2023-06-27,"Marquez, Smith and Lopez",237.86542046205705,142095246.88,LEED,5,987705.82,21877.5,725759.1,8803,No,Aerospace,High,Not Diverse,237.86542046205705
2023-06-27,Chavez-Smith,92.24449702703009,206040140.05,LEED,0,671329.55,49637.8,470949.5,7444,Yes,Consumer Goods,Low,Diverse,92.24449702703009
2023-06-27,Hanson LLC,252.43416213413934,471840212.7,Green Business,6,239666.22,10274.04,803692.46,7394,Yes,Electronics,Medium,Diverse,252.43416213413934
2023-06-27,"Briggs, Cole and Salazar",158.28844764901683,980047252.68,LEED,8,856043.27,56036.17,173353.96,2346,Yes,Electronics,Medium,Diverse,158.28844764901683
2023-06-27,Jackson-Parks,95.11939399196149,780042073.57,LEED,9,120885.97,16080.54,828709.62,9949,No,Consumer Goods,High,Diverse,95.11939399196149
2023-06-27,Zamora Group,312.3521894062287,781026372.88,ISO 14001,2,172263.02,66562.83,58905.84,3735,Yes,Automotive,Medium,Not Diverse,312.3521894062287
2023-06-27,Figueroa-Walker,91.24637887641552,704732138.65,Green Business,5,401084.75,38985.92,843186.34,5701,No,Consumer Goods,High,Not Diverse,91.24637887641552
2023-06-27,Flores-Holt,89.08121052524166,945314016.98,ISO 14001,2,551969.86,41666.48,961640.07,1537,No,Electronics,High,Not Diverse,89.08121052524166
2023-06-27,Everett-Horn,168.4400131931551,427886404.33,ISO 14001,4,920995.1,23798.81,704579.56,5545,Yes,Pharmaceuticals,High,Diverse,168.4400131931551
2023-06-27,"Cunningham, Johnson and Murray",233.26546883060107,812298713.21,LEED,8,281982.73,89941.68,755415.39,9346,Yes,Automotive,Low,Diverse,233.26546883060107
2023-06-27,Dougherty-Wallace,198.82033201550107,516283222.35,Green Business,0,720723.37,8343.66,501162.99,3532,No,Automotive,High,Diverse,198.82033201550107
2023-06-27,Walker-White,142.0957849199315,133986283.8,Green Business,3,538409.65,67317.59,193561.09,2961,Yes,Pharmaceuticals,High,Diverse,142.0957849199315
2023-06-27,"Jackson, Leblanc and Allen",225.61227639076375,65589681.92,LEED,6,259014.71,1217.03,985134.43,5950,Yes,Electronics,High,Not Diverse,225.61227639076375
2023-06-27,Lindsey-Fisher,252.13392542948307,735556008.74,ISO 14001,0,848136.63,46344.74,893338.99,2845,No,Automotive,High,Diverse,252.13392542948307
2023-06-27,Moody-Armstrong,260.44429880408035,517839793.02,LEED,8,491735.49,38365.29,791676.94,4920,No,Automotive,Low,Diverse,260.44429880408035
2023-06-27,"Koch, Silva and Koch",88.65458816486932,659067401.48,LEED,10,274954.78,21351.97,284505.78,5779,Yes,Pharmaceuticals,Low,Diverse,88.65458816486932
2023-06-27,"Robertson, Beck and Salinas",252.6814374562472,420443803.89,Green Business,3,177356.75,46181.85,280882.32,5708,Yes,Automotive,Low,Diverse,252.6814374562472
2023-06-27,"Olsen, Watson and Frye",135.18163138801572,577680163.94,LEED,1,173681.23,68141.74,894307.58,8795,No,Aerospace,Low,Diverse,135.18163138801572
2023-06-27,"Jackson, Stephens and Gardner",87.78399045450544,394787341.45,ISO 14001,0,246606.86,24914.41,191890.61,8986,No,Aerospace,Low,Diverse,87.78399045450544
2023-06-27,Fleming-Stevenson,86.18353603798045,917531056.86,Green Business,0,890824.12,98662.8,430015.16,4976,Yes,Automotive,Medium,Not Diverse,164.0
2023-06-27,"Mcfarland, Sanchez and Oliver",219.28501710454768,947821040.81,Green Business,5,764044.99,58229.2,398876.23,3393,Yes,Consumer Goods,High,Not Diverse,219.28501710454768
2023-06-27,Rojas LLC,87.22409584967951,263532737.11,LEED,1,596830.74,88819.12,634499.39,4506,No,Automotive,Low,Not Diverse,87.22409584967951
2023-06-27,Miller Ltd,215.61147099487664,413066204.33,Green Business,3,550396.65,45960.89,468587.07,1544,Yes,Pharmaceuticals,Medium,Diverse,215.61147099487664
2023-06-27,"Jones, Sanders and Peterson",193.54804625778823,845940110.48,LEED,3,683730.35,59563.38,472393.09,5260,Yes,Consumer Goods,High,Diverse,193.54804625778823
2023-06-27,Mccormick Inc,181.27087308904143,204813763.67,ISO 14001,0,134018.64,40947.88,53698.6,3944,Yes,Consumer Goods,Low,Not Diverse,
2023-06-27,"Freeman, Frederick and Hunter",89.24660496181207,713641216.04,ISO 14001,9,120357.69,76259.13,802020.93,160,No,Aerospace,Medium,Not Diverse,89.24660496181207
2023-06-27,Patel-Weber,208.35102298467123,755881869.96,ISO 14001,8,179151.51,68206.46,189512.33,4391,Yes,Consumer Goods,Medium,Diverse,208.35102298467123
2023-06-27,"Hicks, Leonard and Oconnell",138.75735297258726,162703224.83,LEED,5,798714.11,16074.28,215296.92,190,No,Electronics,Medium,Not Diverse,
2023-06-27,"Miller, Taylor and Tran",88.78763775423059,751496362.83,Green Business,8,308627.3,44272.58,215395.12,6610,Yes,Aerospace,Medium,Not Diverse,88.78763775423059
2023-06-27,Schneider-Vasquez,228.05105151067613,196881373.63,ISO 14001,10,944667.42,82622.48,872534.95,9486,Yes,Automotive,High,Not Diverse,228.05105151067613
2023-06-27,Hardy LLC,170.24842461354953,599258489.99,LEED,7,289844.7,28044.71,139769.58,4373,No,Consumer Goods,Medium,Diverse,170.24842461354953
2023-06-27,"Johnston, Spencer and Reilly",90.70085673991015,391461107.04,LEED,2,477459.29,75079.54,418518.61,758,No,Aerospace,Low,Not Diverse,90.70085673991015
2023-06-27,Phelps PLC,250.0659021910291,660922312.99,Green Business,7,559987.66,43655.46,578279.5,7989,No,Pharmaceuticals,High,Diverse,250.0659021910291
2023-06-27,"Hanson, Mueller and Davis",167.0461392697828,907471838.44,Green Business,10,272012.52,73208.33,563371.65,3666,Yes,Aerospace,Low,Not Diverse,167.0461392697828
2023-06-27,Miller and Sons,179.71760086186896,723433779.51,Green Business,7,300139.05,45105.11,309961.7,8450,No,Electronics,Low,Diverse,179.71760086186896
2023-06-27,"Pearson, Mckee and Salazar",145.72133255304752,204885510.09,Green Business,7,830782.27,38917.19,632417.17,1282,No,Pharmaceuticals,High,Diverse,145.72133255304752
2023-06-27,Turner PLC,335.22372612259414,633198845.95,LEED,3,235504.66,24517.37,149995.54,5245,Yes,Consumer Goods,High,Not Diverse,335.22372612259414
2023-06-27,"Thompson, Myers and Cole",89.92696720254656,709802898.92,Green Business,8,761392.92,42547.77,658661.25,3948,Yes,Electronics,High,Not Diverse,89.92696720254656
2023-06-27,Bauer-Miller,215.91259490924594,250396312.61,ISO 14001,6,687640.18,81292.33,628572.85,9968,No,Aerospace,Medium,Diverse,215.91259490924594
2023-06-27,James-Hall,88.33333500749562,238311832.08,Green Business,0,98083.51,85085.78,889950.95,8607,No,Electronics,High,Diverse,88.33333500749562
2023-06-27,Moreno-Rodriguez,309.7217665806485,616614313.24,Green Business,3,805919.2,3260.66,915965.69,2325,Yes,Electronics,Medium,Diverse,309.7217665806485
2023-06-27,Cline-Ortiz,303.33438981671907,723808460.23,LEED,1,520253.36,15572.67,106869.03,4995,Yes,Electronics,Low,Not Diverse,303.33438981671907
2023-06-27,Garrett-Parker,246.90303598467668,928164941.73,Green Business,8,792214.54,24511.02,761205.1,4534,Yes,Pharmaceuticals,Low,Diverse,246.90303598467668
2023-06-27,"Wright, Strong and Cooper",136.59792490440648,257932143.63,LEED,7,726250.8,2778.26,81895.05,117,No,Pharmaceuticals,Medium,Not Diverse,136.59792490440648
2023-06-27,Sanchez-Lee,247.12268542360522,65019180.62,ISO 14001,6,431674.67,36100.82,268802.16,5341,Yes,Aerospace,Medium,Diverse,247.12268542360522
2023-06-27,Ward-Banks,232.2957046912602,343304819.48,ISO 14001,6,73669.42,83641.23,385009.62,2095,Yes,Electronics,Medium,Not Diverse,232.2957046912602
2023-06-27,"Lane, Nelson and Davis",198.75961144440225,843095460.19,LEED,7,635493.35,74136.28,328318.23,1401,No,Pharmaceuticals,Low,Diverse,198.75961144440225
2023-06-27,"Mathews, Ford and Williams",86.42383927365714,737727636.49,Green Business,1,891034.24,75690.35,751754.98,5076,No,Automotive,Low,Not Diverse,86.42383927365714
2023-06-27,Barton Ltd,235.4670742924215,628732720.59,LEED,1,133466.13,19846.98,670582.68,9294,Yes,Electronics,High,Diverse,235.4670742924215
2023-06-27,Rosales LLC,207.30163890382948,876696861.79,Green Business,3,385113.14,19639.66,115007.4,766,No,Electronics,Medium,Diverse,207.30163890382948
2023-06-27,Carter-Jones,168.0406901577835,503275051.97,LEED,4,740185.97,37026.58,825708.56,368,Yes,Electronics,High,Not Diverse,168.0406901577835
2023-06-27,Garner-Sherman,226.52126660801855,538677701.08,ISO 14001,7,195297.5,98460.11,830280.71,4729,No,Automotive,Medium,Diverse,226.52126660801855
2023-06-27,Pineda-Austin,335.04533222654106,712736724.34,Green Business,5,142864.36,93239.03,597746.72,5962,Yes,Electronics,High,Not Diverse,335.04533222654106
2023-06-27,Lee Ltd,325.2709950191878,726404353.64,LEED,3,833744.63,26896.17,702424.66,6644,Yes,Consumer Goods,Medium,Diverse,325.2709950191878
2023-06-27,Dickson and Sons,256.4956280254534,583955004.87,LEED,7,138936.77,23657.85,368513.63,5838,Yes,Aerospace,Low,Not Diverse,256.4956280254534
2023-06-27,Garcia PLC,133.80296753808614,970872425.34,LEED,3,564105.25,50319.81,826149.68,8647,Yes,Consumer Goods,Low,Diverse,133.80296753808614
2023-06-27,"Gomez, Wilson and Wilson",267.25912254078673,460916358.4,LEED,2,325944.37,30103.55,289714.89,92,Yes,Pharmaceuticals,High,Diverse,267.25912254078673
2023-06-27,Myers-Cervantes,236.03689351911933,354503518.26,ISO 14001,3,842131.77,54550.53,259126.55,1669,Yes,Electronics,Low,Not Diverse,236.03689351911933
2023-06-27,Cummings and Sons,223.45946431265372,324442897.19,LEED,8,77731.51,25977.34,65940.85,4560,No,Automotive,Low,Diverse,223.45946431265372
2023-06-27,Johnson Group,247.07529393910264,681520094.53,Green Business,2,411271.19,25735.85,230535.61,8515,No,Automotive,Medium,Not Diverse,247.07529393910264
2023-06-27,"Brown, Norton and Reyes",248.74682260200618,948323427.52,ISO 14001,10,582039.47,89550.37,917727.64,7181,Yes,Automotive,High,Not Diverse,248.74682260200618
2023-06-27,Reid Ltd,223.3978075800209,576973352.26,LEED,4,118089.66,79956.08,929336.53,3593,Yes,Pharmaceuticals,High,Not Diverse,223.3978075800209
2023-06-27,Werner-Levy,94.17607928023747,151286434.85,LEED,2,570178.04,98589.72,465070.21,2564,No,Consumer Goods,Medium,Diverse,94.17607928023747
2023-06-27,Morrow Ltd,90.44897004809,535728817.32,Green Business,6,999849.83,15795.7,607016.07,8964,No,Pharmaceuticals,Medium,Not Diverse,90.44897004809
